"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"61","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1115687","Panicum maximum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Panicum | Panicum maximum",NA,NA,NA,NA,NA
"62","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5608619","Ximenia caffra","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Santalales | Ximeniaceae | Ximenia | Ximenia caffra",NA,NA,NA,NA,NA
"63","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1114871","Cynodon dactylon","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Cynodon | Cynodon dactylon",NA,NA,NA,NA,NA
"64","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:850163","Emilia coccinea","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Emilia | Emilia coccinea",NA,NA,NA,NA,NA
"65","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5380680","Hoslundia opposita","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Lamiales | Lamiaceae | Nepetoideae | Ocimeae | Hoslundia | Hoslundia opposita",NA,NA,NA,NA,NA
"66","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:691093","Acacia tortilis","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Acacia | Acacia tortilis",NA,NA,NA,NA,NA
"67","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:483490","Sclerocarya birrea","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Anacardiaceae | Sclerocarya | Sclerocarya birrea",NA,NA,NA,NA,NA
"68","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1152579","Phyllanthus sepialis","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Phyllanthaceae | Phyllanthus | Phyllanthus sepialis",NA,NA,NA,NA,NA
"69","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1147266","Croton dichogamus","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | Croton | Croton dichogamus",NA,NA,NA,NA,NA
"70","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2900468","Pupalia lappacea","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Caryophyllales | Amaranthaceae | Pupalia | Pupalia lappacea",NA,NA,NA,NA,NA
"71","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5163428","Maerua triphylla","Maerua triphylla",NA,NA,NA,NA,NA
"72","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5414681","Pavonia burchellii","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | Pavonia | Pavonia burchellii",NA,NA,NA,NA,NA
"73","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1115489","Cenchrus ciliaris","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Cenchrus | Cenchrus ciliaris",NA,NA,NA,NA,NA
"74","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:704017","Senna didymobotrya","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Senna | Senna didymobotrya",NA,NA,NA,NA,NA
"75","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5540593","Cyphostemma","Cyphostemma",NA,NA,NA,NA,NA
"76","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:33621","Albuca","Plantae | Tracheophyta | Liliopsida | Asparagales | Asparagaceae | Albuca",NA,NA,NA,NA,NA
"77","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:11887906","Hypoestes forskaolii","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Lamiales | Acanthaceae | Acanthoideae | Ruellieae | Justiciinae | Hypoestes | Hypoestes forskaolii",NA,NA,NA,NA,NA
"78","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:60515","Ocimum","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Lamiaceae | Ocimum",NA,NA,NA,NA,NA
"79","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:53417","Acalypha","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | acalypha",NA,NA,NA,NA,NA
"80","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:71175","Lippia","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Verbenaceae | lippia",NA,NA,NA,NA,NA
"81","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1114966","Heteropogon contortus","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Heteropogon | Heteropogon contortus",NA,NA,NA,NA,NA
"82","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5051578","Pappea","Plantae | Tracheophyta | Magnoliopsida | Apiales | Apiaceae | Pappea",NA,NA,NA,NA,NA
"83","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1295965","Pavetta gardeniifolia gardeniifolia","Plantae | Tracheophyta | Magnoliopsida | Gentianales | Rubiaceae | Pavetta | Pavetta gardeniifolia | Pavetta gardeniifolia var.",NA,NA,NA,NA,NA
"84","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1122821","Commelina africana","Plantae | Tracheophyta | Liliopsida | Commelinales | Commelinaceae | Commelina | Commelina africana",NA,NA,NA,NA,NA
"85","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5349967","Cordia ovalis","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Boraginales | Cordiaceae | Cordia | Cordia ovalis",NA,NA,NA,NA,NA
"86","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2874750","Turraea","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Meliaceae | Turraea",NA,NA,NA,NA,NA
"87","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:60800","Kalanchoe","Plantae | Tracheophyta | Magnoliopsida | Saxifragales | Crassulaceae | kalanchoe",NA,NA,NA,NA,NA
"88","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:108192","Pennisetum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum",NA,NA,NA,NA,NA
"89","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5818149","Pennisetum mezianum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum | Pennisetum mezianum",NA,NA,NA,NA,NA
"90","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:4858350","Ficus ingens","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Fabids | Rosales | Moraceae | Ficus | Ficus ingens",NA,NA,NA,NA,NA
"91","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:590245","Solanum","Plantae | Tracheophyta | Magnoliopsida | Solanales | Solanaceae | Solanum",NA,NA,NA,NA,NA
"92","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:59359","Allophylus","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | allophylus",NA,NA,NA,NA,NA
"93","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:644918","Albizia harveyi","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Albizia | Albizia harveyi",NA,NA,NA,NA,NA
"94","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:6956733","Ficus glumosa","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Fabids | Rosales | Moraceae | Ficus | Ficus glumosa",NA,NA,NA,NA,NA
"95","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:483578","Balanites aegyptiacus","Plantae | Tracheophyta | Magnoliopsida | Zygophyllales | Zygophyllaceae | Balanites | Balanites aegyptiacus",NA,NA,NA,NA,NA
"96","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5616414","Commiphora schimperi","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Malvids | Sapindales | Burseraceae | Commiphora | Commiphora schimperi",NA,NA,NA,NA,NA
"97","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:689994","Acacia robusta","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Acacia | Acacia robusta",NA,NA,NA,NA,NA
"98","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5424384","Grewia trichocarpa","Grewia trichocarpa",NA,NA,NA,NA,NA
"99","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1115209","Themeda triandra","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Themeda | Themeda triandra",NA,NA,NA,NA,NA
"100","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","GBIF:2972896","Commiphora","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Burseraceae | Commiphora",NA,NA,NA,NA,NA
"101","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:5161369","Capparis tomentosa","Plantae | Tracheophyta | Magnoliopsida | Brassicales | Capparaceae | Capparis | Capparis tomentosa",NA,NA,NA,NA,NA
