"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"887","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:2880476","Cissus quadrangularis","Plantae | Tracheophyta | Magnoliopsida | Vitales | Vitaceae | Cissus | Cissus quadrangularis",NA,NA,NA,NA,NA
"888","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:483490","Sclerocarya birrea","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Anacardiaceae | Sclerocarya | Sclerocarya birrea",NA,NA,NA,NA,NA
"889","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:691093","Acacia tortilis","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Acacia | Acacia tortilis",NA,NA,NA,NA,NA
"890","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5380680","Hoslundia opposita","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Lamiales | Lamiaceae | Nepetoideae | Ocimeae | Hoslundia | Hoslundia opposita",NA,NA,NA,NA,NA
"891","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:850163","Emilia coccinea","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Emilia | Emilia coccinea",NA,NA,NA,NA,NA
"892","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5540593","Cyphostemma","Cyphostemma",NA,NA,NA,NA,NA
"893","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:704017","Senna didymobotrya","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Senna | Senna didymobotrya",NA,NA,NA,NA,NA
"894","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:33621","Albuca","Plantae | Tracheophyta | Liliopsida | Asparagales | Asparagaceae | Albuca",NA,NA,NA,NA,NA
"895","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:53417","Acalypha","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | acalypha",NA,NA,NA,NA,NA
"896","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1114966","Heteropogon contortus","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Heteropogon | Heteropogon contortus",NA,NA,NA,NA,NA
